"Size","Range","Sorter","Time"
10000,"0:10","JavaSorterInt",0
10000,"0:10","QuickBitSorterInt",0
10000,"0:10","RadixBitSorterInt",0
10000,"0:10","RadixByteSorterInt",0
10000,"0:10","JavaParallelSorterInt",0
10000,"0:10","QuickBitSorterMTInt",0
10000,"0:10","MixedBitSorterMTInt",0
10000,"0:10","RadixBitSorterMTInt",0
100000,"0:10","JavaSorterInt",1
100000,"0:10","QuickBitSorterInt",0
100000,"0:10","RadixBitSorterInt",0
100000,"0:10","RadixByteSorterInt",2
100000,"0:10","JavaParallelSorterInt",1
100000,"0:10","QuickBitSorterMTInt",0
100000,"0:10","MixedBitSorterMTInt",0
100000,"0:10","RadixBitSorterMTInt",0
1000000,"0:10","JavaSorterInt",10
1000000,"0:10","QuickBitSorterInt",2
1000000,"0:10","RadixBitSorterInt",4
1000000,"0:10","RadixByteSorterInt",22
1000000,"0:10","JavaParallelSorterInt",4
1000000,"0:10","QuickBitSorterMTInt",2
1000000,"0:10","MixedBitSorterMTInt",2
1000000,"0:10","RadixBitSorterMTInt",2
10000000,"0:10","JavaSorterInt",100
10000000,"0:10","QuickBitSorterInt",22
10000000,"0:10","RadixBitSorterInt",49
10000000,"0:10","RadixByteSorterInt",222
10000000,"0:10","JavaParallelSorterInt",43
10000000,"0:10","QuickBitSorterMTInt",22
10000000,"0:10","MixedBitSorterMTInt",22
10000000,"0:10","RadixBitSorterMTInt",26
40000000,"0:10","JavaSorterInt",396
40000000,"0:10","QuickBitSorterInt",104
40000000,"0:10","RadixBitSorterInt",209
40000000,"0:10","RadixByteSorterInt",902
40000000,"0:10","JavaParallelSorterInt",186
40000000,"0:10","QuickBitSorterMTInt",102
40000000,"0:10","MixedBitSorterMTInt",99
40000000,"0:10","RadixBitSorterMTInt",102
10000,"0:1000","JavaSorterInt",0
10000,"0:1000","QuickBitSorterInt",0
10000,"0:1000","RadixBitSorterInt",0
10000,"0:1000","RadixByteSorterInt",0
10000,"0:1000","JavaParallelSorterInt",0
10000,"0:1000","QuickBitSorterMTInt",0
10000,"0:1000","MixedBitSorterMTInt",0
10000,"0:1000","RadixBitSorterMTInt",0
100000,"0:1000","JavaSorterInt",3
100000,"0:1000","QuickBitSorterInt",0
100000,"0:1000","RadixBitSorterInt",0
100000,"0:1000","RadixByteSorterInt",1
100000,"0:1000","JavaParallelSorterInt",1
100000,"0:1000","QuickBitSorterMTInt",0
100000,"0:1000","MixedBitSorterMTInt",0
100000,"0:1000","RadixBitSorterMTInt",0
1000000,"0:1000","JavaSorterInt",32
1000000,"0:1000","QuickBitSorterInt",1
1000000,"0:1000","RadixBitSorterInt",5
1000000,"0:1000","RadixByteSorterInt",20
1000000,"0:1000","JavaParallelSorterInt",6
1000000,"0:1000","QuickBitSorterMTInt",1
1000000,"0:1000","MixedBitSorterMTInt",1
1000000,"0:1000","RadixBitSorterMTInt",1
10000000,"0:1000","JavaSorterInt",310
10000000,"0:1000","QuickBitSorterInt",22
10000000,"0:1000","RadixBitSorterInt",52
10000000,"0:1000","RadixByteSorterInt",203
10000000,"0:1000","JavaParallelSorterInt",59
10000000,"0:1000","QuickBitSorterMTInt",22
10000000,"0:1000","MixedBitSorterMTInt",22
10000000,"0:1000","RadixBitSorterMTInt",25
40000000,"0:1000","JavaSorterInt",1244
40000000,"0:1000","QuickBitSorterInt",102
40000000,"0:1000","RadixBitSorterInt",226
40000000,"0:1000","RadixByteSorterInt",829
40000000,"0:1000","JavaParallelSorterInt",241
40000000,"0:1000","QuickBitSorterMTInt",100
40000000,"0:1000","MixedBitSorterMTInt",98
40000000,"0:1000","RadixBitSorterMTInt",99
10000,"0:100000","JavaSorterInt",0
10000,"0:100000","QuickBitSorterInt",0
10000,"0:100000","RadixBitSorterInt",0
10000,"0:100000","RadixByteSorterInt",0
10000,"0:100000","JavaParallelSorterInt",0
10000,"0:100000","QuickBitSorterMTInt",0
10000,"0:100000","MixedBitSorterMTInt",0
