"Size","Range","Sorter","Time"
10000,"-10:10","JavaSorter",0
10000,"-10:10","RadixBitSorterInt",0
10000,"-10:10","JavaParallelSorter",0
10000,"-10:10","QuickBitSorterInt",0
100000,"-10:10","JavaSorter",1
100000,"-10:10","RadixBitSorterInt",0
100000,"-10:10","JavaParallelSorter",0
100000,"-10:10","QuickBitSorterInt",0
1000000,"-10:10","JavaSorter",14
1000000,"-10:10","RadixBitSorterInt",9
1000000,"-10:10","JavaParallelSorter",5
1000000,"-10:10","QuickBitSorterInt",6
10000000,"-10:10","JavaSorter",139
10000000,"-10:10","RadixBitSorterInt",86
10000000,"-10:10","JavaParallelSorter",47
10000000,"-10:10","QuickBitSorterInt",66
40000000,"-10:10","JavaSorter",552
40000000,"-10:10","RadixBitSorterInt",365
40000000,"-10:10","JavaParallelSorter",191
40000000,"-10:10","QuickBitSorterInt",263
10000,"-1000:1000","JavaSorter",0
10000,"-1000:1000","RadixBitSorterInt",0
10000,"-1000:1000","JavaParallelSorter",0
10000,"-1000:1000","QuickBitSorterInt",0
100000,"-1000:1000","JavaSorter",4
100000,"-1000:1000","RadixBitSorterInt",0
100000,"-1000:1000","JavaParallelSorter",1
100000,"-1000:1000","QuickBitSorterInt",0
1000000,"-1000:1000","JavaSorter",38
1000000,"-1000:1000","RadixBitSorterInt",8
1000000,"-1000:1000","JavaParallelSorter",7
1000000,"-1000:1000","QuickBitSorterInt",5
10000000,"-1000:1000","JavaSorter",376
10000000,"-1000:1000","RadixBitSorterInt",90
10000000,"-1000:1000","JavaParallelSorter",67
10000000,"-1000:1000","QuickBitSorterInt",65
40000000,"-1000:1000","JavaSorter",1490
40000000,"-1000:1000","RadixBitSorterInt",385
40000000,"-1000:1000","JavaParallelSorter",262
40000000,"-1000:1000","QuickBitSorterInt",262
10000,"-100000:100000","JavaSorter",0
10000,"-100000:100000","RadixBitSorterInt",0
10000,"-100000:100000","JavaParallelSorter",0
10000,"-100000:100000","QuickBitSorterInt",1
100000,"-100000:100000","JavaSorter",5
100000,"-100000:100000","RadixBitSorterInt",0
100000,"-100000:100000","JavaParallelSorter",1
100000,"-100000:100000","QuickBitSorterInt",1
1000000,"-100000:100000","JavaSorter",67
1000000,"-100000:100000","RadixBitSorterInt",10
1000000,"-100000:100000","JavaParallelSorter",8
1000000,"-100000:100000","QuickBitSorterInt",10
10000000,"-100000:100000","JavaSorter",643
10000000,"-100000:100000","RadixBitSorterInt",136
10000000,"-100000:100000","JavaParallelSorter",94
10000000,"-100000:100000","QuickBitSorterInt",100
40000000,"-100000:100000","JavaSorter",2520
40000000,"-100000:100000","RadixBitSorterInt",574
40000000,"-100000:100000","JavaParallelSorter",370
40000000,"-100000:100000","QuickBitSorterInt",389
10000,"-10000000:10000000","JavaSorter",0
10000,"-10000000:10000000","RadixBitSorterInt",0
10000,"-10000000:10000000","JavaParallelSorter",0
10000,"-10000000:10000000","QuickBitSorterInt",1
100000,"-10000000:10000000","JavaSorter",5
100000,"-10000000:10000000","RadixBitSorterInt",0
100000,"-10000000:10000000","JavaParallelSorter",1
100000,"-10000000:10000000","QuickBitSorterInt",9
1000000,"-10000000:10000000","JavaSorter",69
1000000,"-10000000:10000000","RadixBitSorterInt",11
1000000,"-10000000:10000000","JavaParallelSorter",8
1000000,"-10000000:10000000","QuickBitSorterInt",99
10000000,"-10000000:10000000","JavaSorter",809
10000000,"-10000000:10000000","RadixBitSorterInt",148
10000000,"-10000000:10000000","JavaParallelSorter",95
10000000,"-10000000:10000000","QuickBitSorterInt",454
40000000,"-10000000:10000000","JavaSorter",3496
40000000,"-10000000:10000000","RadixBitSorterInt",637
40000000,"-10000000:10000000","JavaParallelSorter",410
40000000,"-10000000:10000000","QuickBitSorterInt",1599
10000,"-1000000000:1000000000","JavaSorter",0
10000,"-1000000000:1000000000","RadixBitSorterInt",0
10000,"-1000000000:1000000000","JavaParallelSorter",0
10000,"-1000000000:1000000000","QuickBitSorterInt",0
100000,"-1000000000:1000000000","JavaSorter",5
100000,"-1000000000:1000000000","RadixBitSorterInt",1
100000,"-1000000000:1000000000","JavaParallelSorter",1
100000,"-1000000000:1000000000","QuickBitSorterInt",7
1000000,"-1000000000:1000000000","JavaSorter",68
1000000,"-1000000000:1000000000","RadixBitSorterInt",14
1000000,"-1000000000:1000000000","JavaParallelSorter",8
1000000,"-1000000000:1000000000","QuickBitSorterInt",138
10000000,"-1000000000:1000000000","JavaSorter",806
10000000,"-1000000000:1000000000","RadixBitSorterInt",195
10000000,"-1000000000:1000000000","JavaParallelSorter",94
10000000,"-1000000000:1000000000","QuickBitSorterInt",1278
