"Size","Range","Sorter","Time"
10000,"0:10","JavaSorterObject",0
10000,"0:10","JavaParallelSorterObjectInt",1
10000,"0:10","RadixBitSorterObjectInt",0
100000,"0:10","JavaSorterObject",6
100000,"0:10","JavaParallelSorterObjectInt",3
100000,"0:10","RadixBitSorterObjectInt",1
1000000,"0:10","JavaSorterObject",71
1000000,"0:10","JavaParallelSorterObjectInt",29
1000000,"0:10","RadixBitSorterObjectInt",20
10000000,"0:10","JavaSorterObject",1265
10000000,"0:10","JavaParallelSorterObjectInt",672
10000000,"0:10","RadixBitSorterObjectInt",613
10000,"0:1000","JavaSorterObject",1
10000,"0:1000","JavaParallelSorterObjectInt",1
10000,"0:1000","RadixBitSorterObjectInt",0
100000,"0:1000","JavaSorterObject",13
100000,"0:1000","JavaParallelSorterObjectInt",4
100000,"0:1000","RadixBitSorterObjectInt",1
1000000,"0:1000","JavaSorterObject",152
1000000,"0:1000","JavaParallelSorterObjectInt",48
1000000,"0:1000","RadixBitSorterObjectInt",24
10000000,"0:1000","JavaSorterObject",2320
10000000,"0:1000","JavaParallelSorterObjectInt",1200
10000000,"0:1000","RadixBitSorterObjectInt",830
10000,"0:100000","JavaSorterObject",1
10000,"0:100000","JavaParallelSorterObjectInt",1
10000,"0:100000","RadixBitSorterObjectInt",0
100000,"0:100000","JavaSorterObject",20
100000,"0:100000","JavaParallelSorterObjectInt",4
100000,"0:100000","RadixBitSorterObjectInt",3
1000000,"0:100000","JavaSorterObject",393
1000000,"0:100000","JavaParallelSorterObjectInt",69
1000000,"0:100000","RadixBitSorterObjectInt",42
10000000,"0:100000","JavaSorterObject",5315
10000000,"0:100000","JavaParallelSorterObjectInt",1298
10000000,"0:100000","RadixBitSorterObjectInt",1188
10000,"0:10000000","JavaSorterObject",1
10000,"0:10000000","JavaParallelSorterObjectInt",1
10000,"0:10000000","RadixBitSorterObjectInt",0
100000,"0:10000000","JavaSorterObject",20
100000,"0:10000000","JavaParallelSorterObjectInt",4
100000,"0:10000000","RadixBitSorterObjectInt",3
1000000,"0:10000000","JavaSorterObject",407
1000000,"0:10000000","JavaParallelSorterObjectInt",51
1000000,"0:10000000","RadixBitSorterObjectInt",39
10000000,"0:10000000","JavaSorterObject",6805
10000000,"0:10000000","JavaParallelSorterObjectInt",1300
10000000,"0:10000000","RadixBitSorterObjectInt",1160
10000,"0:1000000000","JavaSorterObject",1
10000,"0:1000000000","JavaParallelSorterObjectInt",1
10000,"0:1000000000","RadixBitSorterObjectInt",0
100000,"0:1000000000","JavaSorterObject",21
100000,"0:1000000000","JavaParallelSorterObjectInt",4
100000,"0:1000000000","RadixBitSorterObjectInt",4
1000000,"0:1000000000","JavaSorterObject",410
1000000,"0:1000000000","JavaParallelSorterObjectInt",51
1000000,"0:1000000000","RadixBitSorterObjectInt",54
